title,description,salary_min_net,salary_max_net,skills_required,location,experience_range,source_url
Python developer,Сообщество IT-специалистов,220000,300000,"Python, СП",,,https://career.habr.com/vacancies/1000166231
Python Developer,Сообщество IT-специалистов,75000,,"Python, СП",,,https://career.habr.com/vacancies/1000163346
C++ red team developer,Сообщество IT-специалистов,230000,350000,"C++, СП",,,https://career.habr.com/vacancies/1000166280
Django Web Developer,Сообщество IT-специалистов,140000,190000,"Django, СП",,,https://career.habr.com/vacancies/1000166409
Java Developer,Сообщество IT-специалистов,75000,,"Java, СП",,,https://career.habr.com/vacancies/1000165612
Java Developer,Сообщество IT-специалистов,75000,,"Java, СП",,,https://career.habr.com/vacancies/1000139801
Middle Java Developer,Сообщество IT-специалистов,150000,,"Java, СП",,Middle,https://career.habr.com/vacancies/1000166285
Go Developer,Сообщество IT-специалистов,75000,125000,"Go, СП",,,https://career.habr.com/vacancies/1000166180
C# Developer (WinForms + SQL),Сообщество IT-специалистов,350000,,"C#, SQL, СП",,,https://career.habr.com/vacancies/1000166222
Vue 3 Frontend Developer,Сообщество IT-специалистов,100000,250000,"Vue, СП",,,https://career.habr.com/vacancies/1000166151
AI Bulider,Сообщество IT-специалистов,130000,140000,СП,,,https://career.habr.com/vacancies/1000166353
Go Developer,Сообщество IT-специалистов,250000,,"Go, СП",,,https://career.habr.com/vacancies/1000166245
Golang Developer,Сообщество IT-специалистов,200000,300000,"Golang, СП",,,https://career.habr.com/vacancies/1000163532
"Backend Developer (PHP, Yii2)",Сообщество IT-специалистов,150000,,"PHP, СП",,,https://career.habr.com/vacancies/1000164447
Android разработчик / Kotlin developer,Сообщество IT-специалистов,120000,180000,"Kotlin, СП",,,https://career.habr.com/vacancies/1000165193
Java-разработчик в Маркет,Сообщество IT-специалистов,180000,350000,"Java, СП",,,https://career.habr.com/vacancies/1000128046
Java разработчик с нуля (стажер),Сообщество IT-специалистов,52000,,"Java, СП",,Intern,https://career.habr.com/vacancies/1000165249
Backend / DevOps разработчик для VPN-сервиса,Сообщество IT-специалистов,100000,200000,СП,,,https://career.habr.com/vacancies/1000166405
Senior AI Platform Engineer / LLMOps Engineer / Tech Lead,Сообщество IT-специалистов,300000,,СП,,Senior,https://career.habr.com/vacancies/1000166331
LEAD AI/ML ENGINEER,Сообщество IT-специалистов,400000,,"ML, СП",,LEAD,https://career.habr.com/vacancies/1000164602
Разработчик в буткемп Core Infrastructure,Сообщество IT-специалистов,300000,490000,СП,,,https://career.habr.com/vacancies/1000156172
PHP-разработчик,Сообщество IT-специалистов,15000,250000,"PHP, СП",,,https://career.habr.com/vacancies/1000164921
Head of Engineering,Сообщество IT-специалистов,400000,450000,СП,,,https://career.habr.com/vacancies/1000166228
Разработчик 1С / Специалист по интеграции (Мегаплан + 1С),Сообщество IT-специалистов,100000,,"1С, СП",,,https://career.habr.com/vacancies/1000159384
DevOps-инженер,Сообщество IT-специалистов,50000,,СП,,,https://career.habr.com/vacancies/1000166246
Сетевой инженер,Сообщество IT-специалистов,175000,200000,СП,,,https://career.habr.com/vacancies/1000165619
Программист C++ (Qt),Сообщество IT-специалистов,140000,200000,"C++, МИС, СП",,,https://career.habr.com/vacancies/1000165990
Dev Team Lead/ Tech Lead/ Технический директор,Сообщество IT-специалистов,500000,1000000,"КТ, СП",,Lead,https://career.habr.com/vacancies/1000166314
Data Engineer/Дата инженер (ученик),Сообщество IT-специалистов,90000,100000,СП,,,https://career.habr.com/vacancies/1000165117
Тестировщик ПО Manual QA,Сообщество IT-специалистов,90000,120000,СП,,,https://career.habr.com/vacancies/1000166393
Программист Backend PHP на yii2 (Middle),Сообщество IT-специалистов,70000,90000,"PHP, МИС, СП",,Middle,https://career.habr.com/vacancies/1000166323
Pentester,Сообщество IT-специалистов,150000,250000,СП,,,https://career.habr.com/vacancies/1000166249
Системный аналитик,Сообщество IT-специалистов,75000,130000,СП,,,https://career.habr.com/vacancies/1000166338
Project Manager / Специалист по внедрению AI-менеджеров (удалённо),Сообщество IT-специалистов,70000,150000,СП,,,https://career.habr.com/vacancies/1000166292
"Team Lead Go (Golang, продукты для управления инфраструктурой и PKI (TLS/ГОСТ)",Сообщество IT-специалистов,450000,600000,"Go, Golang, КТ, ГОСТ, СП",,Lead,https://career.habr.com/vacancies/1000166288
Системный аналитик,Сообщество IT-специалистов,130000,,СП,,,https://career.habr.com/vacancies/1000158879
Разработчик Ruby,Сообщество IT-специалистов,200000,,"Ruby, СП",,,https://career.habr.com/vacancies/1000166233
Архитектор Информационных систем,Сообщество IT-специалистов,,400000,"КТ, СП",,,https://career.habr.com/vacancies/1000151385
Project-manager IT (менеджер проектов),Сообщество IT-специалистов,100000,180000,"КТ, СП",,,https://career.habr.com/vacancies/1000166184
"SRE/DevOps инженер (highload, bare metal)",Сообщество IT-специалистов,350000,,СП,,,https://career.habr.com/vacancies/1000166143
Руководитель проектов,Сообщество IT-специалистов,160000,230000,"КТ, СП",,,https://career.habr.com/vacancies/1000166363
1С Программист (Middle / Middle+),Сообщество IT-специалистов,150000,,"1С, МИС, СП",,Middle,https://career.habr.com/vacancies/1000166399
Senior Android-разработчик,Сообщество IT-специалистов,350000,,СП,,Senior,https://career.habr.com/vacancies/1000163154
Senior IOS-разработчик,Сообщество IT-специалистов,350000,,СП,,Senior,https://career.habr.com/vacancies/1000163153
Android/Kotlin разработчик (частичная занятость),Сообщество IT-специалистов,150000,,"Kotlin, СП",,,https://career.habr.com/vacancies/1000099903
"Разработчик С# (User Interface, WPF)",Сообщество IT-специалистов,120000,,СП,,,https://career.habr.com/vacancies/1000165895
Разработчик WebRTC-сервисов на Go в видеоплатформу,Сообщество IT-специалистов,300000,490000,"Go, СП",,,https://career.habr.com/vacancies/1000150590
Fullstack JavaScript разработчик,Сообщество IT-специалистов,70000,100000,"JavaScript, СП",,,https://career.habr.com/vacancies/1000145180
"Frontend-разработчик (vanilla JS, high-load)",Сообщество IT-специалистов,200000,,СП,,,https://career.habr.com/vacancies/1000164014
"Веб-программист (Fullstack разработчик, г. Ижевск офлайн)",Сообщество IT-специалистов,100000,,"МИС, СП",,,https://career.habr.com/vacancies/1000166149
Technical Lead (CTO),Сообщество IT-специалистов,500000,,СП,,Lead,https://career.habr.com/vacancies/1000166316
Технический архитектор 1с,Сообщество IT-специалистов,400000,,"1С, КТ, СП",,,https://career.habr.com/vacancies/1000166064
"Программист 1С (зарплата, кадры)",Сообщество IT-специалистов,,300000,"1С, МИС, СП",,,https://career.habr.com/vacancies/1000166334
Выездной инженер технической поддержки,Сообщество IT-специалистов,,70000,СП,,,https://career.habr.com/vacancies/1000161382
Выездной инженер технической поддержки,Сообщество IT-специалистов,62000,70000,СП,,,https://career.habr.com/vacancies/1000157114
Выездной инженер технической поддержки,Сообщество IT-специалистов,62000,65000,СП,,,https://career.habr.com/vacancies/1000161379
Выездной инженер технической поддержки,Сообщество IT-специалистов,,92000,СП,,,https://career.habr.com/vacancies/1000161380
Программист 1С middle+,Сообщество IT-специалистов,130000,260000,"1С, МИС, СП",,middle,https://career.habr.com/vacancies/1000166349
"Специалист тех поддержки (английский язык, смены с 16:00 до 00:00 Мск)",Сообщество IT-специалистов,50000,,"СП, английский язык",,,https://career.habr.com/vacancies/1000146767
Программист PHP,Сообщество IT-специалистов,70000,250000,"PHP, МИС, СП",,,https://career.habr.com/vacancies/1000164672
Программист Delphi/C++,Сообщество IT-специалистов,70000,500000,"C++, МИС, СП",,,https://career.habr.com/vacancies/1000163864
VibeCoder / Platform Engineer (Node.js / Kubernetes),Сообщество IT-специалистов,,220000,"Kubernetes, СП",,,https://career.habr.com/vacancies/1000166336
Менеджер-координатор в ИТ,Сообщество IT-специалистов,52200,,СП,,,https://career.habr.com/vacancies/1000166412
Account Manager / Project manager,Сообщество IT-специалистов,70000,110000,СП,,,https://career.habr.com/vacancies/1000166407
DevOps Engineer/DevOps-инженер,Сообщество IT-специалистов,150000,,СП,,,https://career.habr.com/vacancies/1000166319
Технический руководитель/Technical Lead(государственная информационная система),Сообщество IT-специалистов,,400000,СП,,Lead,https://career.habr.com/vacancies/1000161326
DevOps - инженер | Dev Ops engineer,Сообщество IT-специалистов,70000,100000,СП,,,https://career.habr.com/vacancies/1000166174
DevOps-администратор 1С (Junior+/Middle),Сообщество IT-специалистов,90000,230000,"1С, СП",,Junior,https://career.habr.com/vacancies/1000166093
Программист 1С (Нижний Новгород),Сообщество IT-специалистов,160000,230000,"1С, МИС, СП",Нижний Новгород,,https://career.habr.com/vacancies/1000164756
Менеджер по продажам (партнерская программа),Сообщество IT-специалистов,150000,,СП,,,https://career.habr.com/vacancies/1000166350
Аналитик-консультант 1С,Сообщество IT-специалистов,104400,,"1С, СП",,,https://career.habr.com/vacancies/1000166165
Маркетолог,Сообщество IT-специалистов,120000,,СП,,,https://career.habr.com/vacancies/1000166210
Программист 1С,Сообщество IT-специалистов,140000,174000,"1С, МИС, СП",,,https://career.habr.com/vacancies/1000166332
Менеджер проектов 1С ERP (управленческий учет),Сообщество IT-специалистов,250000,350000,"1С, управленческий учет, КТ, СП",,,https://career.habr.com/vacancies/1000166175
Финансовый аналитик,Сообщество IT-специалистов,100000,,СП,,,https://career.habr.com/vacancies/1000166307
"Менеджер по качеству (эквайринг, терминалы, ККТ, банкоматы, АДМ)",Сообщество IT-специалистов,,130000,"КТ, СП",,,https://career.habr.com/vacancies/1000161386
"Менеджер по качеству (эквайринг, терминалы, ККТ, банкоматы, АДМ)",Сообщество IT-специалистов,,130000,"КТ, СП",,,https://career.habr.com/vacancies/1000157103
Специалист по интернет-рекламе,Сообщество IT-специалистов,70000,100000,СП,,,https://career.habr.com/vacancies/1000166134
IT Project Manager Middle,Сообщество IT-специалистов,100000,,СП,,Middle,https://career.habr.com/vacancies/1000166391
Системный архитектор,Сообщество IT-специалистов,,360000,"КТ, СП",,,https://career.habr.com/vacancies/1000166299
Проджект менеджер / Project Manager,Сообщество IT-специалистов,20000,40000,"КТ, СП",,,https://career.habr.com/vacancies/1000140951
Помощник сетевого администратора,Сообщество IT-специалистов,,100000,СП,,,https://career.habr.com/vacancies/1000166348
"Инженер по обслуживанию систем безопасности, видеонаблюдения и СОТ",Сообщество IT-специалистов,,70000,СП,,,https://career.habr.com/vacancies/1000165394
DevOps-инженер,Сообщество IT-специалистов,150000,,СП,,,https://career.habr.com/vacancies/1000165765
Координатор заявок service desk,Сообщество IT-специалистов,,45000,СП,,,https://career.habr.com/vacancies/1000161368
Ведущий специалист информационной безопасности в ФЦИИТ,Сообщество IT-специалистов,222000,,СП,,Lead,https://career.habr.com/vacancies/1000166396
Менеджер по продажам услуги ИТ-аутстаф (поиск+развитие клиентов),Сообщество IT-специалистов,150000,,СП,,,https://career.habr.com/vacancies/1000166389
фрезеровщик,"Фрезерование и расточка наружных и внутренних поверхностей деталей из различных материалов по 6-7 квалитетам на универсальных фрезерных станках; Подбор режущего инструмента Фрезерование фасонных поверхностей и сопряжений деталей, узлов, изделий из различных материалов; Контроль, обработанных поверхностей, универсальными и специализированными средствами измерения Контроль технического состояния оборудования;
Образование: Среднее профессиональное образование. Опыт: 1",110000,250000,СП,Москва,1 лет,https://trudvsem.ru/vacancy/card/1027739646164/14c75615-5875-11ee-97aa-e7d0d2cf29b1
Грузчик / резчик оргстекла,"разгрузка / погрузка товара (листовые пластики); комплектование заказов; упаковка продукции; поддержание чистоты и порядка на складе.
Образование: Не указано. Опыт: 3. Условия: постоянная работа на полный рабочий день (понедельник-пятница с 9 до 18 часов); работа на отапливаемом складе по адресу: Московская обл., г. Реутов, ул. Победы, д. 1 (ближайшая ст. м. ""Новокосино"", ж/д станция МЦД-4 ""Реутов""); оформление в соответствии с Трудовым кодексом РФ с первого дня работы; обеспечение рабочей спецодеждой; испытательный срок - 2 месяца.",80000,100000,"КТ, СП, логистика, ВЭД",Москва,3 лет,https://trudvsem.ru/vacancy/card/1027700404797/334cdea0-fe06-11f0-b9a4-e75992b52ed4
Грузчик-мерчендайзер,"Fix Price (Фикс Прайс) - международная сеть магазинов для всей семьи с широким ассортиментом товаров для дома по низким фиксированным ценам приглашает вас на вакансию «Мерчендайзер - Грузчик» Мы повысили зарплату: теперь она составляет от 68 000 рублей в месяц + ПРЕМИИ Чем предстоит заниматься: · Принимать и разгружать машину с товаром 1-2 раза в неделю; · Следить за порядком в магазине, проверять сроки годности товаров; · Аккуратно выкладывать товар и актуализировать ценники; · Быть открытым, приветливым и готовым помочь всем покупателям. Что мы ожидаем: · Мы ищем людей, которые ценят порядок, ответственно относятся к задачам и готовы помогать другим! · Опыт работы не требуется, но будет плюсом, если вы ранее работали в розничной торговле на позициях грузчик, мерчендайзер, разнорабочий, подсобный рабочий, рабочий склада, курьер, сборщик, работник торгового зала. Что мы предлагаем: · Гибкий график – 2/2, 5/2, 6/1, 3/1, возможны подработки; · Работа рядом с домом; · Выплата зарплаты 2 раза в месяц; · Работа в крупной, стабильной и динамично развивающейся компании; · Возможность обучения в Корпоративном университете. Дополнительные бонусы: · Ежемесячные и сезонные премии по итогам работы; · Надбавка за стаж с 3-го месяца работы; · Бонусы на карту лояльности всем сотрудникам каждый месяц; · Увеличивайте ваш доход за счет оплачиваемых подработок; · Реальный и быстрый карьерный рост: до старшего продавца (Администратора) и Заведующего магазином; · Мы готовы прийти на помощь в трудных ситуациях и оказать материальную помощь сотрудникам; · Переезжайте по РФ и оставайтесь с нами! Fix Price – это более 7800 магазинов по всей стране, мы обязательно подберем вакансию для вас! Можем трудоустроить в день обращения! Пройти собеседование можно в любом удобном для вас магазине Fix Price в любой день недели с 9:00 до 18:00. При себе необходимо иметь паспорт, трудовую книжку и военный билет или приписное свидетельство (для военнообязанных). С радостью рассмотрим кандидатов, которые работали в других торговых сетях (Магнит, Пятёрочка, Перекрёсток, О'КЕЙ, Детский мир, Спортмастер, Лэтуаль, Кораблик, Красное&Белое, Бристоль, Дикси, Лента, Ашан, Глобус, Светофор, Магнит Косметик, Верный, Читай-город, Галамарт, Леруа Мерлен, Сбермаркет, Самокат, Яндекс, Чижик, ВкусВилл).
Образование: Не указано",68000,75000,"КТ, СП, ОТК",Москва,0 лет,https://trudvsem.ru/vacancy/card/1027700404797/c8a5cec5-4eb6-11f1-8401-9df212a1d3eb
